X-coord Y-coord RA Dec p error_p q error_q u error_u mag error_mag Theta
1481.3 1761.7 51.1064 34.093 0.03523 0.03019 -0.03486 0.03035 0.00513 0.02107 0.22738 0.68903 1.4978
506.0 1669.6 51.24613 34.10486 0.03194 0.01848 -0.02213 0.01525 -0.02303 0.02103 0.50477 0.86062 -1.1681
320.4 539.9 51.27134 34.2378 0.02185 0.02481 0.01478 0.01752 0.01609 0.0296 0.44032 0.8184 0.4139
260.6 1457.2 51.28091 34.12995 0.02599 0.01412 0.01274 0.00809 0.02265 0.01554 1.76508 1.86874 0.5291
325.6 1444.3 51.27169 34.13149 0.00365 0.01401 0.00308 0.01112 0.00196 0.01939 0.82247 1.08607 0.2828
240.4 266.7 51.28203 34.26964 0.0542 0.01717 0.03396 0.01163 -0.04224 0.01995 0.99212 1.21627 -0.4468
1932.7 320.4 51.04097 34.26352 0.03416 0.0149 0.03336 0.01521 0.00736 0.00601 nan nan 0.1085
114.3 480.9 51.30027 34.24446 0.00166 0.00678 0.00065 0.0035 -0.00153 0.00721 nan nan -0.5863
1795.6 380.1 51.0608 34.2566 0.02077 0.01072 0.01762 0.01208 0.01099 0.00594 nan nan 0.2788
742.2 425.1 51.21144 34.25157 0.0151 0.00437 -0.01159 0.00448 0.00967 0.00421 nan nan 1.2231
1383.7 476.0 51.12007 34.24559 0.08377 0.0218 -0.06309 0.02523 0.05511 0.01623 0.53718 0.88237 1.2118
1433.3 1695.6 51.11337 34.10096 0.05364 0.03102 0.02095 0.04273 -0.04938 0.0284 0.1059 0.6233 -0.5848
1535.3 1778.8 51.09859 34.09086 0.06941 0.00675 0.06921 0.00677 0.00536 0.00439 nan nan 0.0386
1215.1 1680.1 51.14477 34.10311 0.01034 0.00768 -0.00592 0.00882 -0.00848 0.00706 nan nan -1.0901
129.2 1932.3 51.29958 34.07377 0.55501 0.00827 0.00902 0.00697 -0.55494 0.00827 nan nan -0.7773
323.5 1311.1 51.27191 34.14721 0.00954 0.00628 -0.00816 0.00512 0.00495 0.0087 nan nan 1.2982
529.1 1849.8 51.24281 34.0835 0.01201 0.00721 -0.00409 0.00542 0.01129 0.00741 nan nan 0.9591
759.8 1836.8 51.20992 34.08491 0.02674 0.02021 -0.02626 0.02016 -0.00504 0.02167 0.3421 0.75666 -1.4759
734.9 804.8 51.21307 34.20696 0.00407 0.00767 -0.00243 0.00772 -0.00326 0.00764 nan nan -1.1063
428.3 1553.2 51.25716 34.11864 0.00998 0.01278 -0.00278 0.00879 0.00959 0.01306 1.68081 1.79395 0.9264
